ADCdebugData[219], '?'; 0x07f,
ADCdebugData[220], '?'; 0x07f,
ADCdebugData[221], '?'; 0x07f,
ADCdebugData[222], '?'; 0x07f,
ADCdebugData[223], '?'; 0x07f,
ADCdebugData[224], '?'; 0x07f,
ADCdebugData[225], '?'; 0x07f,
ADCdebugData[226], '?'; 0x07f,
ADCdebugData[227], '?'; 0x07f,
ADCdebugData[228], '?'; 0x07f,
ADCdebugData[229], '?'; 0x07f,
ADCdebugData[230], '?'; 0x07f,
ADCdebugData[231], '?'; 0x07f,
ADCdebugData[232], '?'; 0x07f,
ADCdebugData[233], '?'; 0x07f,
ADCdebugData[234], '?'; 0x07f,
ADCdebugData[235], '?'; 0x07f,
ADCdebugData[236], '?'; 0x07f,
ADCdebugData[237], '?'; 0x07f,
ADCdebugData[238], '?'; 0x07f,
ADCdebugData[239], '?'; 0x07f,
ADCdebugData[240], '?'; 0x07f,
ADCdebugData[241], '?'; 0x07f,
ADCdebugData[242], '?'; 0x07f,
ADCdebugData[243], '?'; 0x07f,
ADCdebugData[244], '?'; 0x07f,
ADCdebugData[245], '?'; 0x07f,
ADCdebugData[246], '?'; 0x07f,
ADCdebugData[247], '?'; 0x07f,
ADCdebugData[248], '?'; 0x07f,
ADCdebugData[249], '?'; 0x07f,
ADCdebugData[250], '?'; 0x07f,
ADCdebugData[251], '?'; 0x07f,
ADCdebugData[252], '?'; 0x07f,
ADCdebugData[253], '?'; 0x07f,
ADCdebugData[254], '?'; 0x07f,
ADCdebugData[255], '?'; 0x07f,
ADCdebugData[256], '?'; 0x07f,
ADCdebugData[257], '?'; 0x07f,
ADCdebugData[258], '?'; 0x07f,
ADCdebugData[259], '?'; 0x07f,
ADCdebugData[260], '?'; 0x07f,
ADCdebugData[261], '?'; 0x07f,
ADCdebugData[262], '?'; 0x07f,
ADCdebugData[263], '?'; 0x07f,
ADCdebugData[264], '?'; 0x07f,
ADCdebugData[265], '?'; 0x07f,
ADCdebugData[266], '?'; 0x07f,
ADCdebugData[267], '?'; 0x07f,
ADCdebugData[268], '?'; 0x07f,
ADCdebugData[269], '?'; 0x07f,
ADCdebugData[270], '?'; 0x07f,
ADCdebugData[271], '?'; 0x07f,
ADCdebugData[272], '?'; 0x07f,
ADCdebugData[273], '?'; 0x07f,
ADCdebugData[274], '?'; 0x07f,
ADCdebugData[275], '?'; 0x07f,
ADCdebugData[276], '?'; 0x07f,
ADCdebugData[277], '?'; 0x07f,
ADCdebugData[278], '?'; 0x07f,
ADCdebugData[279], '?'; 0x07f,
ADCdebugData[280], '?'; 0x07f,
ADCdebugData[281], '?'; 0x07f,
ADCdebugData[282], '?'; 0x07f,
ADCdebugData[283], '?'; 0x07f,
ADCdebugData[284], '?'; 0x07f,
ADCdebugData[285], '?'; 0x07f,
ADCdebugData[286], '?'; 0x07f,
ADCdebugData[287], '?'; 0x07f,
ADCdebugData[288], '?'; 0x07f,
ADCdebugData[289], '?'; 0x07f,
ADCdebugData[290], '?'; 0x07f,
ADCdebugData[291], '?'; 0x07f,
ADCdebugData[292], '?'; 0x07f,
ADCdebugData[293], '?'; 0x07f,
ADCdebugData[294], '?'; 0x07f,
ADCdebugData[295], '?'; 0x07f,
ADCdebugData[296], '?'; 0x07f,
ADCdebugData[297], '?'; 0x07f,
ADCdebugData[298], '?'; 0x07f,
ADCdebugData[299], '?'; 0x07f,
ADCdebugData[300], '?'; 0x07f,
ADCdebugData[301], '?'; 0x07f,
ADCdebugData[302], '?'; 0x07f,
ADCdebugData[303], '?'; 0x07f,
ADCdebugData[304], '?'; 0x07f,
ADCdebugData[305], '?'; 0x07f,
ADCdebugData[306], '?'; 0x07f,
ADCdebugData[307], '?'; 0x07f,
ADCdebugData[308], '?'; 0x07f,
ADCdebugData[309], '?'; 0x07f,
ADCdebugData[310], '?'; 0x07f,
ADCdebugData[311], '?'; 0x07f,
ADCdebugData[312], '?'; 0x07f,
ADCdebugData[313], '?'; 0x07f,
ADCdebugData[314], '?'; 0x07f,
ADCdebugData[315], '?'; 0x07f,
ADCdebugData[316], '?'; 0x07f,
ADCdebugData[317], '?'; 0x07f,
ADCdebugData[318], '?'; 0x07f,
ADCdebugData[319], '?'; 0x07f,
ADCdebugData[320], '?'; 0x07f,
ADCdebugData[321], '?'; 0x07f,
ADCdebugData[322], '?'; 0x07f,
ADCdebugData[323], '?'; 0x07f,
ADCdebugData[324], '?'; 0x07f,
ADCdebugData[325], '?'; 0x07f,
ADCdebugData[326], '?'; 0x07f,
ADCdebugData[327], '?'; 0x07f,
ADCdebugData[328], '?'; 0x07f,
ADCdebugData[329], '?'; 0x07f,
ADCdebugData[330], '?'; 0x07f,
ADCdebugData[331], '?'; 0x07f,
ADCdebugData[332], '?'; 0x07f,
ADCdebugData[333], '?'; 0x07f,
ADCdebugData[334], '?'; 0x07f,
ADCdebugData[335], '?'; 0x07f,
ADCdebugData[336], '?'; 0x07f,
ADCdebugData[337], '?'; 0x07f,
ADCdebugData[338], '?'; 0x07f,
ADCdebugData[339], '?'; 0x07f,
ADCdebugData[340], '?'; 0x07f,
ADCdebugData[341], '?'; 0x07f,
ADCdebugData[342], '?'; 0x07f,
ADCdebugData[343], '?'; 0x07f,
ADCdebugData[344], '?'; 0x07f,
ADCdebugData[345], '?'; 0x07f,
ADCdebugData[346], '?'; 0x07f,
ADCdebugData[347], '?'; 0x07f,
ADCdebugData[348], '?'; 0x07f,
ADCdebugData[349], '?'; 0x07f,
ADCdebugData[350], '?'; 0x07f,
ADCdebugData[351], '?'; 0x07f,
ADCdebugData[352], '?'; 0x07f,
ADCdebugData[353], '?'; 0x07f,
ADCdebugData[354], '?'; 0x07f,
ADCdebugData[355], '?'; 0x07f,
ADCdebugData[356], '?'; 0x07f,
ADCdebugData[357], '?'; 0x07f,
ADCdebugData[358], '?'; 0x07f,
ADCdebugData[359], '?'; 0x07f,
ADCdebugData[360], '?'; 0x07f,
ADCdebugData[361], '?'; 0x07f,
ADCdebugData[362], '?'; 0x07f,
ADCdebugData[363], '?'; 0x07f,
ADCdebugData[364], '?'; 0x07f,
ADCdebugData[365], '?'; 0x07f,
ADCdebugData[366], '?'; 0x07f,
ADCdebugData[367], '?'; 0x07f,
ADCdebugData[368], '?'; 0x07f,
ADCdebugData[369], '?'; 0x07f,
ADCdebugData[370], '?'; 0x07f,
ADCdebugData[371], '?'; 0x07f,
ADCdebugData[372], '?'; 0x07f,
ADCdebugData[373], '?'; 0x07f,
ADCdebugData[374], '?'; 0x07f,
ADCdebugData[375], '?'; 0x07f,
ADCdebugData[376], '?'; 0x07f,
ADCdebugData[377], '?'; 0x07f,
ADCdebugData[378], '?'; 0x07f,
ADCdebugData[379], '?'; 0x07f,
ADCdebugData[380], '?'; 0x07f,
ADCdebugData[381], '?'; 0x07f,
ADCdebugData[382], '?'; 0x07f,
ADCdebugData[383], '?'; 0x07f,
ADCdebugData[384], '?'; 0x07f,
ADCdebugData[385], '?'; 0x07f,
ADCdebugData[386], '?'; 0x07f,
ADCdebugData[387], '?'; 0x07f,
ADCdebugData[388], '?'; 0x07f,
ADCdebugData[389], '?'; 0x07f,
ADCdebugData[390], '?'; 0x07f,
ADCdebugData[391], '?'; 0x07f,
ADCdebugData[392], '?'; 0x07f,
ADCdebugData[393], '?'; 0x07f,
ADCdebugData[394], '?'; 0x07f,
ADCdebugData[395], '?'; 0x07f,
ADCdebugData[396], '?'; 0x07f,
ADCdebugData[397], '?'; 0x07f,
ADCdebugData[398], '?'; 0x07f,
ADCdebugData[399], '?'; 0x07f,
ADCdebugData[400], '?'; 0x07f,
ADCdebugData[401], '?'; 0x07f,
ADCdebugData[402], '?'; 0x07f,
ADCdebugData[403], '?'; 0x07f,
ADCdebugData[404], '?'; 0x07f,
ADCdebugData[405], '?'; 0x07f,
ADCdebugData[406], '?'; 0x07f,
ADCdebugData[407], '?'; 0x07f,
ADCdebugData[408], '?'; 0x07f,
ADCdebugData[409], '?'; 0x07f,
ADCdebugData[410], '?'; 0x07f,
ADCdebugData[411], '?'; 0x07f,
ADCdebugData[412], '?'; 0x07f,
ADCdebugData[413], '?'; 0x07f,
ADCdebugData[414], '?'; 0x07f,
ADCdebugData[415], '?'; 0x07f,
ADCdebugData[416], '?'; 0x07f,
ADCdebugData[417], '?'; 0x07f,
ADCdebugData[418], '?'; 0x07f,
ADCdebugData[419], '?'; 0x07f,
ADCdebugData[420], '?'; 0x07f,
ADCdebugData[421], '?'; 0x07f,
ADCdebugData[422], '?'; 0x07f,
ADCdebugData[423], '?'; 0x07f,
ADCdebugData[424], '?'; 0x07f,
ADCdebugData[425], '?'; 0x07f,
ADCdebugData[426], '?'; 0x07f,
ADCdebugData[427], '?'; 0x07f,
ADCdebugData[428], '?'; 0x07f,
ADCdebugData[429], '?'; 0x07f,
ADCdebugData[430], '?'; 0x07f,
ADCdebugData[431], '?'; 0x07f,
ADCdebugData[432], '?'; 0x07f,
ADCdebugData[433], '?'; 0x07f,
ADCdebugData[434], '?'; 0x07f,
ADCdebugData[435], '?'; 0x07f,
ADCdebugData[436], '?'; 0x07f,
ADCdebugData[437], '?'; 0x07f,
ADCdebugData[438], '?'; 0x07f,
ADCdebugData[439], '?'; 0x07f,
ADCdebugData[440], '?'; 0x07f,
ADCdebugData[441], '?'; 0x07f,
ADCdebugData[442], '?'; 0x07f,
ADCdebugData[443], '?'; 0x07f,
ADCdebugData[444], '?'; 0x07f,
ADCdebugData[445], '?'; 0x07f,
ADCdebugData[446], '?'; 0x07f,
ADCdebugData[447], '?'; 0x07f,
ADCdebugData[448], '?'; 0x07f,
ADCdebugData[449], '?'; 0x07f,
ADCdebugData[450], '?'; 0x07f,
ADCdebugData[451], '?'; 0x07f,
ADCdebugData[452], '?'; 0x07f,
ADCdebugData[453], '?'; 0x07f,
ADCdebugData[454], '?'; 0x07f,
ADCdebugData[455], '?'; 0x07f,
ADCdebugData[456], '?'; 0x07f,
ADCdebugData[457], '?'; 0x07f,
ADCdebugData[458], '?'; 0x07f,
ADCdebugData[459], '?'; 0x07f,
ADCdebugData[460], '?'; 0x07f,
ADCdebugData[461], '?'; 0x07f,
ADCdebugData[462], '?'; 0x07f,
ADCdebugData[463], '?'; 0x07f,
ADCdebugData[464], '?'; 0x07f,
ADCdebugData[465], '?'; 0x07f,
ADCdebugData[466], '?'; 0x07f,
ADCdebugData[467], '?'; 0x07f,
ADCdebugData[468], '?'; 0x07f,
ADCdebugData[469], '?'; 0x07f,
ADCdebugData[470], '?'; 0x07f,
ADCdebugData[471], '?'; 0x07f,
ADCdebugData[472], '?'; 0x07f,
ADCdebugData[473], '?'; 0x07f,
ADCdebugData[474], '?'; 0x07f,
ADCdebugData[475], '?'; 0x07f,
ADCdebugData[476], '?'; 0x07f,
ADCdebugData[477], '?'; 0x07f,
ADCdebugData[478], '?'; 0x07f,
ADCdebugData[479], '?'; 0x07f,
ADCdebugData[480], '?'; 0x07f,
ADCdebugData[481], '?'; 0x07f,
ADCdebugData[482], '?'; 0x07f,
ADCdebugData[483], '?'; 0x07f,
ADCdebugData[484], '?'; 0x07f,
ADCdebugData[485], '?'; 0x07f,
ADCdebugData[486], '?'; 0x07f,
ADCdebugData[487], '?'; 0x07f,
ADCdebugData[488], '?'; 0x07f,
ADCdebugData[489], '?'; 0x07f,
ADCdebugData[490], '?'; 0x07f,
ADCdebugData[491], '?'; 0x07f,
ADCdebugData[492], '?'; 0x07f,
ADCdebugData[493], '?'; 0x07f,
ADCdebugData[494], '?'; 0x07f,
ADCdebugData[495], '?'; 0x07f,
ADCdebugData[496], '?'; 0x07f,
ADCdebugData[497], '?'; 0x07f,
ADCdebugData[498], '?'; 0x07f,
ADCdebugData[499], '?'; 0x07f,
ADCdebugData[500], '?'; 0x07f,
ADCdebugData[501], '?'; 0x07f,
ADCdebugData[502], '?'; 0x07f,
ADCdebugData[503], '?'; 0x07f,
ADCdebugData[504], '?'; 0x07f,
ADCdebugData[505], '?'; 0x07f,
ADCdebugData[506], '?'; 0x07f,
ADCdebugData[507], '?'; 0x07f,
ADCdebugData[508], '?'; 0x07f,
ADCdebugData[509], '?'; 0x07f,
ADCdebugData[510], '?'; 0x07f,
ADCdebugData[511], '?'; 0x07f,
ADCdebugData[512], '?'; 0x07f,
ADCdebugData[513], '?'; 0x07f,
ADCdebugData[514], '?'; 0x07f,
ADCdebugData[515], '?'; 0x07f,
ADCdebugData[516], '?'; 0x07f,
ADCdebugData[517], '?'; 0x07f,
ADCdebugData[518], '?'; 0x07f,
ADCdebugData[519], '?'; 0x07f,
ADCdebugData[520], '?'; 0x07f,
ADCdebugData[521], '?'; 0x07f,
